Condition,ItemNumber,Flip,33Include,AgentName,AgentShape,AgentShapeLower,PatientName,PatientShape,PatientShapeLower,VerbStem,PastTense,PastParticiple,Verb,ProgressiveActive,PastActive,GenericProgressiveActive,GenericPastActive,ProgressivePassive,PastPassive,GenericProgressivePassive,GenericPastPassive,Question_A,Ans_A,Question_B,Ans_B,Question_C,Ans_C,Question_D,Ans_D,Question_E,Ans_E,RandA,RandB,RandC,RandD,RandE
Agent,26,0,1,Lily,Triangle,triangle,Zach,Star,star,shak,shook,shaken,shake,Lily Triangle is shaking Zach Star.,Lily Triangle shook Zach Star.,The triangle is shaking the star.,The triangle shook the star.,Zach Star is being shaken by Lily Triangle.,Zach Star was shaken by Lily Triangle.,The star is being shaken by the triangle.,The star was shaken by the triangle.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.318268097,0.757811181,0.034165141,0.728376136,0.670986823
Agent,23,1,1,Lily,Triangle,triangle,Zach,Star,star,roll,rolled,rolled,roll,Lily Triangle is rolling Zach Star.,Lily Triangle rolled Zach Star.,The triangle is rolling the star.,The triangle rolled the star.,Zach Star is being rolled by Lily Triangle.,Zach Star was rolled by Lily Triangle.,The star is being rolled by the triangle.,The star was rolled by the triangle.,NA,NA,NA,NA,Was someone rolled by Lily Triangle?,Y,NA,NA,NA,NA,0.279817294,0.211704678,2.153520836,0.230475686,0.050366362
Agent,4,1,1,Kyle,Square,square,Lily,Triangle,triangle,bounc,bounced,bounced,bounce,Kyle Square is bouncing Lily Triangle.,Kyle Square bounced Lily Triangle.,The square is bouncing the triangle.,The square bounced the triangle.,Lily Triangle is being bounced by Kyle Square.,Lily Triangle was bounced by Kyle Square.,The triangle is being bounced by the square.,The triangle was bounced by the square.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.230566505,0.772222649,0.656535432,0.166324534,0.666964018
Agent,19,1,1,Lily,Triangle,triangle,Kyle,Square,square,bounc,bounced,bounced,bounce,Lily Triangle is bouncing Kyle Square.,Lily Triangle bounced Kyle Square.,The triangle is bouncing the square.,The triangle bounced the square.,Kyle Square is being bounced by Lily Triangle.,Kyle Square was bounced by Lily Triangle.,The square is being bounced by the triangle.,The square was bounced by the triangle.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.184239164,0.120369937,0.410086446,0.572302302,0.914339388
Agent,8,1,1,Kyle,Square,square,Zach,Star,star,roll,rolled,rolled,roll,Kyle Square is rolling Zach Star.,Kyle Square rolled Zach Star.,The square is rolling the star.,The square rolled the star.,Zach Star is being rolled by Kyle Square.,Zach Star was rolled by Kyle Square.,The star is being rolled by the square.,The star was rolled by the square.,NA,NA,NA,NA,NA,NA,Did someone roll Kyle Square?,N,NA,NA,0.171483444,0.799081566,0.774333596,2.919738043,0.946578512
Agent,35,1,1,Zach,Star,star,Lily,Triangle,triangle,bounc,bounced,bounced,bounce,Zach Star is bouncing Lily Triangle.,Zach Star bounced Lily Triangle.,The star is bouncing the triangle.,The star bounced the triangle.,Lily Triangle is being bounced by Zach Star.,Lily Triangle was bounced by Zach Star.,The triangle is being bounced by the star.,The triangle was bounced by the star.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.160338216,0.831109296,0.684007172,0.269102618,0.803591688
Agent,7,0,1,Kyle,Square,square,Lily,Triangle,triangle,roll,rolled,rolled,roll,Kyle Square is rolling Lily Triangle.,Kyle Square rolled Lily Triangle.,The square is rolling the triangle.,The square rolled the triangle.,Lily Triangle is being rolled by Kyle Square.,Lily Triangle was rolled by Kyle Square.,The triangle is being rolled by the square.,The triangle was rolled by the square.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.120243981,0.101884726,0.538501834,0.340311595,0.031748402
Agent,40,0,1,Zach,Star,star,Kyle,Square,square,shak,shook,shaken,shake,Zach Star is shaking Kyle Square.,Zach Star shook Kyle Square.,The star is shaking the square.,The star shook the square.,Kyle Square is being shaken by Zach Star.,Kyle Square was shaken by Zach Star.,The square is being shaken by the star.,The square was shaken by the star.,NA,NA,NA,NA,NA,NA,Was Zach Star shaken by someone?,N,NA,NA,0.04500108,0.306375582,0.713615232,2.735706137,0.895698246
Agent,40,1,1,Zach,Star,star,Kyle,Square,square,shak,shook,shaken,shake,Zach Star is shaking Kyle Square.,Zach Star shook Kyle Square.,The star is shaking the square.,The star shook the square.,Kyle Square is being shaken by Zach Star.,Kyle Square was shaken by Zach Star.,The square is being shaken by the star.,The square was shaken by the star.,NA,NA,NA,NA,NA,NA,Did Zach Star shake someone?,Y,NA,NA,0.044564362,0.431541833,0.237065715,2.931413803,0.393377999
Agent,25,1,1,Lily,Triangle,triangle,Kyle,Square,square,shak,shook,shaken,shake,Lily Triangle is shaking Kyle Square.,Lily Triangle shook Kyle Square.,The triangle is shaking the square.,The triangle shook the square.,Kyle Square is being shaken by Lily Triangle.,Kyle Square was shaken by Lily Triangle.,The square is being shaken by the triangle.,The square was shaken by the triangle.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00881248,0.163387613,0.431612932,0.954605624,0.338971474
Patient,35,0,1,Zach,Star,star,Lily,Triangle,triangle,bounc,bounced,bounced,bounce,Zach Star is bouncing Lily Triangle.,Zach Star bounced Lily Triangle.,The star is bouncing the triangle.,The star bounced the triangle.,Lily Triangle is being bounced by Zach Star.,Lily Triangle was bounced by Zach Star.,The triangle is being bounced by the star.,The triangle was bounced by the star.,NA,NA,NA,NA,NA,NA,NA,NA,Was Lily Triangle bounced by someone?,Y,1.421113031,1.695390134,1.336225782,1.836098379,3.887943149
Agent,19,0,1,Lily,Triangle,triangle,Kyle,Square,square,bounc,bounced,bounced,bounce,Lily Triangle is bouncing Kyle Square.,Lily Triangle bounced Kyle Square.,The triangle is bouncing the square.,The triangle bounced the square.,Kyle Square is being bounced by Lily Triangle.,Kyle Square was bounced by Lily Triangle.,The square is being bounced by the triangle.,The square was bounced by the triangle.,NA,NA,NA,NA,NA,NA,NA,NA,Was Lily Triangle bounced by someone?,N,0.22808479,0.243218758,0.650362178,0.07752839,2.63213681
Agent,37,0,1,Zach,Star,star,Kyle,Square,square,roll,rolled,rolled,roll,Zach Star is rolling Kyle Square.,Zach Star rolled Kyle Square.,The star is rolling the square.,The star rolled the square.,Kyle Square is being rolled by Zach Star.,Kyle Square was rolled by Zach Star.,The square is being rolled by the star.,The square was rolled by the star.,NA,NA,NA,NA,NA,NA,NA,NA,Was someone rolled by Zach Star?,Y,0.547011725,0.785340093,0.596909361,0.86016533,2.457614496
Agent,37,1,1,Zach,Star,star,Kyle,Square,square,roll,rolled,rolled,roll,Zach Star is rolling Kyle Square.,Zach Star rolled Kyle Square.,The star is rolling the square.,The star rolled the square.,Kyle Square is being rolled by Zach Star.,Kyle Square was rolled by Zach Star.,The square is being rolled by the star.,The square was rolled by the star.,Did Zach Star roll someone?,Y,NA,NA,NA,NA,NA,NA,Was Zach Star rolled by someone?,N,2.996129193,0.130270812,0.200662932,0.853260499,2.878474341
Agent,1,0,0,Kyle,Square,square,Lily,Triangle,triangle,stopp,stopped,stopped,stop,Kyle Square is stopping Lily Triangle.,Kyle Square stopped Lily Triangle.,The square is stopping the triangle.,The square stopped the triangle.,Lily Triangle is being stopped by Kyle Square.,Lily Triangle was stopped by Kyle Square.,The triangle is being stopped by the square.,The triangle was stopped by the square.,,,,,,,,,,,,,,,
Agent,2,0,0,Kyle,Square,square,Zach,Star,star,stopp,stopped,stopped,stop,Kyle Square is stopping Zach Star.,Kyle Square stopped Zach Star.,The square is stopping the star.,The square stopped the star.,Zach Star is being stopped by Kyle Square.,Zach Star was stopped by Kyle Square.,The star is being stopped by the square.,The star was stopped by the square.,,,,,,,,,,,,,,,
Agent,3,0,0,Kyle,Square,square,Melissa,Oval,oval,stopp,stopped,stopped,stop,Kyle Square is stopping Melissa Oval.,Kyle Square stopped Melissa Oval.,The square is stopping the oval.,The square stopped the oval.,Melissa Oval is being stopped by Kyle Square.,Melissa Oval was stopped by Kyle Square.,The oval is being stopped by the square.,The oval was stopped by the square.,,,,,,,,,,,,,,,
Agent,6,0,0,Kyle,Square,square,Melissa,Oval,oval,bounc,bounced,bounced,bounce,Kyle Square is bouncing Melissa Oval.,Kyle Square bounced Melissa Oval.,The square is bouncing the oval.,The square bounced the oval.,Melissa Oval is being bounced by Kyle Square.,Melissa Oval was bounced by Kyle Square.,The oval is being bounced by the square.,The oval was bounced by the square.,,,,,,,,,,,,,,,
Agent,9,0,0,Kyle,Square,square,Melissa,Oval,oval,roll,rolled,rolled,roll,Kyle Square is rolling Melissa Oval.,Kyle Square rolled Melissa Oval.,The square is rolling the oval.,The square rolled the oval.,Melissa Oval is being rolled by Kyle Square.,Melissa Oval was rolled by Kyle Square.,The oval is being rolled by the square.,The oval was rolled by the square.,,,,,,,,,,,,,,,
Agent,12,0,0,Kyle,Square,square,Melissa,Oval,oval,shak,shook,shaken,shake,Kyle Square is shaking Melissa Oval.,Kyle Square shook Melissa Oval.,The square is shaking the oval.,The square shook the oval.,Melissa Oval is being shaken by Kyle Square.,Melissa Oval was shaken by Kyle Square.,The oval is being shaken by the square.,The oval was shaken by the square.,,,,,,,,,,,,,,,
Agent,13,0,0,Kyle,Square,square,Lily,Triangle,triangle,balanc,balanced,balanced,balance,Kyle Square is balancing Lily Triangle.,Kyle Square balanced Lily Triangle.,The square is balancing the triangle.,The square balanced the triangle.,Lily Triangle is being balanced by Kyle Square.,Lily Triangle was balanced by Kyle Square.,The triangle is being balanced by the square.,The triangle was balanced by the square.,,,,,,,,,,,,,,,
Agent,14,0,0,Kyle,Square,square,Zach,Star,star,balanc,balanced,balanced,balance,Kyle Square is balancing Zach Star.,Kyle Square balanced Zach Star.,The square is balancing the star.,The square balanced the star.,Zach Star is being balanced by Kyle Square.,Zach Star was balanced by Kyle Square.,The star is being balanced by the square.,The star was balanced by the square.,,,,,,,,,,,,,,,
Agent,15,0,0,Kyle,Square,square,Melissa,Oval,oval,balanc,balanced,balanced,balance,Kyle Square is balancing Melissa Oval.,Kyle Square balanced Melissa Oval.,The square is balancing the oval.,The square balanced the oval.,Melissa Oval is being balanced by Kyle Square.,Melissa Oval was balanced by Kyle Square.,The oval is being balanced by the square.,The oval was balanced by the square.,,,,,,,,,,,,,,,
Agent,16,0,0,Lily,Triangle,triangle,Kyle,Square,square,stopp,stopped,stopped,stop,Lily Triangle is stopping Kyle Square.,Lily Triangle stopped Kyle Square.,The triangle is stopping the square.,The triangle stopped the square.,Kyle Square is being stopped by Lily Triangle.,Kyle Square was stopped by Lily Triangle.,The square is being stopped by the triangle.,The square was stopped by the triangle.,,,,,,,,,,,,,,,
Agent,17,0,0,Lily,Triangle,triangle,Zach,Star,star,stopp,stopped,stopped,stop,Lily Triangle is stopping Zach Star.,Lily Triangle stopped Zach Star.,The triangle is stopping the star.,The triangle stopped the star.,Zach Star is being stopped by Lily Triangle.,Zach Star was stopped by Lily Triangle.,The star is being stopped by the triangle.,The star was stopped by the triangle.,,,,,,,,,,,,,,,
Agent,18,0,0,Lily,Triangle,triangle,Melissa,Oval,oval,stopp,stopped,stopped,stop,Lily Triangle is stopping Melissa Oval.,Lily Triangle stopped Melissa Oval.,The triangle is stopping the oval.,The triangle stopped the oval.,Melissa Oval is being stopped by Lily Triangle.,Melissa Oval was stopped by Lily Triangle.,The oval is being stopped by the triangle.,The oval was stopped by the triangle.,,,,,,,,,,,,,,,
Agent,21,0,0,Lily,Triangle,triangle,Melissa,Oval,oval,bounc,bounced,bounced,bounce,Lily Triangle is bouncing Melissa Oval.,Lily Triangle bounced Melissa Oval.,The triangle is bouncing the oval.,The triangle bounced the oval.,Melissa Oval is being bounced by Lily Triangle.,Melissa Oval was bounced by Lily Triangle.,The oval is being bounced by the triangle.,The oval was bounced by the triangle.,,,,,,,,,,,,,,,
Agent,24,0,0,Lily,Triangle,triangle,Melissa,Oval,oval,roll,rolled,rolled,roll,Lily Triangle is rolling Melissa Oval.,Lily Triangle rolled Melissa Oval.,The triangle is rolling the oval.,The triangle rolled the oval.,Melissa Oval is being rolled by Lily Triangle.,Melissa Oval was rolled by Lily Triangle.,The oval is being rolled by the triangle.,The oval was rolled by the triangle.,,,,,,,,,,,,,,,
Agent,27,0,0,Lily,Triangle,triangle,Melissa,Oval,oval,shak,shook,shaken,shake,Lily Triangle is shaking Melissa Oval.,Lily Triangle shook Melissa Oval.,The triangle is shaking the oval.,The triangle shook the oval.,Melissa Oval is being shaken by Lily Triangle.,Melissa Oval was shaken by Lily Triangle.,The oval is being shaken by the triangle.,The oval was shaken by the triangle.,,,,,,,,,,,,,,,
Agent,28,0,0,Lily,Triangle,triangle,Kyle,Square,square,balanc,balanced,balanced,balance,Lily Triangle is balancing Kyle Square.,Lily Triangle balanced Kyle Square.,The triangle is balancing the square.,The triangle balanced the square.,Kyle Square is being balanced by Lily Triangle.,Kyle Square was balanced by Lily Triangle.,The square is being balanced by the triangle.,The square was balanced by the triangle.,,,,,,,,,,,,,,,
Agent,29,0,0,Lily,Triangle,triangle,Zach,Star,star,balanc,balanced,balanced,balance,Lily Triangle is balancing Zach Star.,Lily Triangle balanced Zach Star.,The triangle is balancing the star.,The triangle balanced the star.,Zach Star is being balanced by Lily Triangle.,Zach Star was balanced by Lily Triangle.,The star is being balanced by the triangle.,The star was balanced by the triangle.,,,,,,,,,,,,,,,
Agent,30,0,0,Lily,Triangle,triangle,Melissa,Oval,oval,balanc,balanced,balanced,balance,Lily Triangle is balancing Melissa Oval.,Lily Triangle balanced Melissa Oval.,The triangle is balancing the oval.,The triangle balanced the oval.,Melissa Oval is being balanced by Lily Triangle.,Melissa Oval was balanced by Lily Triangle.,The oval is being balanced by the triangle.,The oval was balanced by the triangle.,,,,,,,,,,,,,,,
Agent,31,0,0,Zach,Star,star,Kyle,Square,square,stopp,stopped,stopped,stop,Zach Star is stopping Kyle Square.,Zach Star stopped Kyle Square.,The star is stopping the square.,The star stopped the square.,Kyle Square is being stopped by Zach Star.,Kyle Square was stopped by Zach Star.,The square is being stopped by the star.,The square was stopped by the star.,,,,,,,,,,,,,,,
Agent,32,0,0,Zach,Star,star,Lily,Triangle,triangle,stopp,stopped,stopped,stop,Zach Star is stopping Lily Triangle.,Zach Star stopped Lily Triangle.,The star is stopping the triangle.,The star stopped the triangle.,Lily Triangle is being stopped by Zach Star.,Lily Triangle was stopped by Zach Star.,The triangle is being stopped by the star.,The triangle was stopped by the star.,,,,,,,,,,,,,,,
Agent,33,0,0,Zach,Star,star,Melissa,Oval,oval,stopp,stopped,stopped,stop,Zach Star is stopping Melissa Oval.,Zach Star stopped Melissa Oval.,The star is stopping the oval.,The star stopped the oval.,Melissa Oval is being stopped by Zach Star.,Melissa Oval was stopped by Zach Star.,The oval is being stopped by the star.,The oval was stopped by the star.,,,,,,,,,,,,,,,
Agent,36,0,0,Zach,Star,star,Melissa,Oval,oval,bounc,bounced,bounced,bounce,Zach Star is bouncing Melissa Oval.,Zach Star bounced Melissa Oval.,The star is bouncing the oval.,The star bounced the oval.,Melissa Oval is being bounced by Zach Star.,Melissa Oval was bounced by Zach Star.,The oval is being bounced by the star.,The oval was bounced by the star.,,,,,,,,,,,,,,,
Agent,39,0,0,Zach,Star,star,Melissa,Oval,oval,roll,rolled,rolled,roll,Zach Star is rolling Melissa Oval.,Zach Star rolled Melissa Oval.,The star is rolling the oval.,The star rolled the oval.,Melissa Oval is being rolled by Zach Star.,Melissa Oval was rolled by Zach Star.,The oval is being rolled by the star.,The oval was rolled by the star.,,,,,,,,,,,,,,,
Agent,42,0,0,Zach,Star,star,Melissa,Oval,oval,shak,shook,shaken,shake,Zach Star is shaking Melissa Oval.,Zach Star shook Melissa Oval.,The star is shaking the oval.,The star shook the oval.,Melissa Oval is being shaken by Zach Star.,Melissa Oval was shaken by Zach Star.,The oval is being shaken by the star.,The oval was shaken by the star.,,,,,,,,,,,,,,,
Agent,43,0,0,Zach,Star,star,Kyle,Square,square,balanc,balanced,balanced,balance,Zach Star is balancing Kyle Square.,Zach Star balanced Kyle Square.,The star is balancing the square.,The star balanced the square.,Kyle Square is being balanced by Zach Star.,Kyle Square was balanced by Zach Star.,The square is being balanced by the star.,The square was balanced by the star.,,,,,,,,,,,,,,,
Agent,44,0,0,Zach,Star,star,Lily,Triangle,triangle,balanc,balanced,balanced,balance,Zach Star is balancing Lily Triangle.,Zach Star balanced Lily Triangle.,The star is balancing the triangle.,The star balanced the triangle.,Lily Triangle is being balanced by Zach Star.,Lily Triangle was balanced by Zach Star.,The triangle is being balanced by the star.,The triangle was balanced by the star.,,,,,,,,,,,,,,,
Agent,45,0,0,Zach,Star,star,Melissa,Oval,oval,balanc,balanced,balanced,balance,Zach Star is balancing Melissa Oval.,Zach Star balanced Melissa Oval.,The star is balancing the oval.,The star balanced the oval.,Melissa Oval is being balanced by Zach Star.,Melissa Oval was balanced by Zach Star.,The oval is being balanced by the star.,The oval was balanced by the star.,,,,,,,,,,,,,,,
Agent,46,0,0,Melissa,Oval,oval,Kyle,Square,square,stopp,stopped,stopped,stop,Melissa Oval is stopping Kyle Square.,Melissa Oval stopped Kyle Square.,The oval is stopping the square.,The oval stopped the square.,Kyle Square is being stopped by Melissa Oval.,Kyle Square was stopped by Melissa Oval.,The square is being stopped by the oval.,The square was stopped by the oval.,,,,,,,,,,,,,,,
Agent,47,0,0,Melissa,Oval,oval,Lily,Triangle,triangle,stopp,stopped,stopped,stop,Melissa Oval is stopping Lily Triangle.,Melissa Oval stopped Lily Triangle.,The oval is stopping the triangle.,The oval stopped the triangle.,Lily Triangle is being stopped by Melissa Oval.,Lily Triangle was stopped by Melissa Oval.,The triangle is being stopped by the oval.,The triangle was stopped by the oval.,,,,,,,,,,,,,,,
Agent,48,0,0,Melissa,Oval,oval,Zach,Star,star,stopp,stopped,stopped,stop,Melissa Oval is stopping Zach Star.,Melissa Oval stopped Zach Star.,The oval is stopping the star.,The oval stopped the star.,Zach Star is being stopped by Melissa Oval.,Zach Star was stopped by Melissa Oval.,The star is being stopped by the oval.,The star was stopped by the oval.,,,,,,,,,,,,,,,
Agent,49,0,0,Melissa,Oval,oval,Kyle,Square,square,bounc,bounced,bounced,bounce,Melissa Oval is bouncing Kyle Square.,Melissa Oval bounced Kyle Square.,The oval is bouncing the square.,The oval bounced the square.,Kyle Square is being bounced by Melissa Oval.,Kyle Square was bounced by Melissa Oval.,The square is being bounced by the oval.,The square was bounced by the oval.,,,,,,,,,,,,,,,
Agent,50,0,0,Melissa,Oval,oval,Lily,Triangle,triangle,bounc,bounced,bounced,bounce,Melissa Oval is bouncing Lily Triangle.,Melissa Oval bounced Lily Triangle.,The oval is bouncing the triangle.,The oval bounced the triangle.,Lily Triangle is being bounced by Melissa Oval.,Lily Triangle was bounced by Melissa Oval.,The triangle is being bounced by the oval.,The triangle was bounced by the oval.,,,,,,,,,,,,,,,
Agent,51,0,0,Melissa,Oval,oval,Zach,Star,star,bounc,bounced,bounced,bounce,Melissa Oval is bouncing Zach Star.,Melissa Oval bounced Zach Star.,The oval is bouncing the star.,The oval bounced the star.,Zach Star is being bounced by Melissa Oval.,Zach Star was bounced by Melissa Oval.,The star is being bounced by the oval.,The star was bounced by the oval.,,,,,,,,,,,,,,,
Agent,52,0,0,Melissa,Oval,oval,Kyle,Square,square,roll,rolled,rolled,roll,Melissa Oval is rolling Kyle Square.,Melissa Oval rolled Kyle Square.,The oval is rolling the square.,The oval rolled the square.,Kyle Square is being rolled by Melissa Oval.,Kyle Square was rolled by Melissa Oval.,The square is being rolled by the oval.,The square was rolled by the oval.,,,,,,,,,,,,,,,
Agent,53,0,0,Melissa,Oval,oval,Lily,Triangle,triangle,roll,rolled,rolled,roll,Melissa Oval is rolling Lily Triangle.,Melissa Oval rolled Lily Triangle.,The oval is rolling the triangle.,The oval rolled the triangle.,Lily Triangle is being rolled by Melissa Oval.,Lily Triangle was rolled by Melissa Oval.,The triangle is being rolled by the oval.,The triangle was rolled by the oval.,,,,,,,,,,,,,,,
Agent,54,0,0,Melissa,Oval,oval,Zach,Star,star,roll,rolled,rolled,roll,Melissa Oval is rolling Zach Star.,Melissa Oval rolled Zach Star.,The oval is rolling the star.,The oval rolled the star.,Zach Star is being rolled by Melissa Oval.,Zach Star was rolled by Melissa Oval.,The star is being rolled by the oval.,The star was rolled by the oval.,,,,,,,,,,,,,,,
Agent,55,0,0,Melissa,Oval,oval,Kyle,Square,square,shak,shook,shaken,shake,Melissa Oval is shaking Kyle Square.,Melissa Oval shook Kyle Square.,The oval is shaking the square.,The oval shook the square.,Kyle Square is being shaken by Melissa Oval.,Kyle Square was shaken by Melissa Oval.,The square is being shaken by the oval.,The square was shaken by the oval.,,,,,,,,,,,,,,,
Agent,56,0,0,Melissa,Oval,oval,Lily,Triangle,triangle,shak,shook,shaken,shake,Melissa Oval is shaking Lily Triangle.,Melissa Oval shook Lily Triangle.,The oval is shaking the triangle.,The oval shook the triangle.,Lily Triangle is being shaken by Melissa Oval.,Lily Triangle was shaken by Melissa Oval.,The triangle is being shaken by the oval.,The triangle was shaken by the oval.,,,,,,,,,,,,,,,
Agent,57,0,0,Melissa,Oval,oval,Zach,Star,star,shak,shook,shaken,shake,Melissa Oval is shaking Zach Star.,Melissa Oval shook Zach Star.,The oval is shaking the star.,The oval shook the star.,Zach Star is being shaken by Melissa Oval.,Zach Star was shaken by Melissa Oval.,The star is being shaken by the oval.,The star was shaken by the oval.,,,,,,,,,,,,,,,
Agent,58,0,0,Melissa,Oval,oval,Kyle,Square,square,balanc,balanced,balanced,balance,Melissa Oval is balancing Kyle Square.,Melissa Oval balanced Kyle Square.,The oval is balancing the square.,The oval balanced the square.,Kyle Square is being balanced by Melissa Oval.,Kyle Square was balanced by Melissa Oval.,The square is being balanced by the oval.,The square was balanced by the oval.,,,,,,,,,,,,,,,
Agent,59,0,0,Melissa,Oval,oval,Lily,Triangle,triangle,balanc,balanced,balanced,balance,Melissa Oval is balancing Lily Triangle.,Melissa Oval balanced Lily Triangle.,The oval is balancing the triangle.,The oval balanced the triangle.,Lily Triangle is being balanced by Melissa Oval.,Lily Triangle was balanced by Melissa Oval.,The triangle is being balanced by the oval.,The triangle was balanced by the oval.,,,,,,,,,,,,,,,
Agent,60,0,0,Melissa,Oval,oval,Zach,Star,star,balanc,balanced,balanced,balance,Melissa Oval is balancing Zach Star.,Melissa Oval balanced Zach Star.,The oval is balancing the star.,The oval balanced the star.,Zach Star is being balanced by Melissa Oval.,Zach Star was balanced by Melissa Oval.,The star is being balanced by the oval.,The star was balanced by the oval.,,,,,,,,,,,,,,,
Agent,1,1,0,Kyle,Square,square,Lily,Triangle,triangle,stopp,stopped,stopped,stop,Kyle Square is stopping Lily Triangle.,Kyle Square stopped Lily Triangle.,The square is stopping the triangle.,The square stopped the triangle.,Lily Triangle is being stopped by Kyle Square.,Lily Triangle was stopped by Kyle Square.,The triangle is being stopped by the square.,The triangle was stopped by the square.,,,,,,,,,,,,,,,
Agent,2,1,0,Kyle,Square,square,Zach,Star,star,stopp,stopped,stopped,stop,Kyle Square is stopping Zach Star.,Kyle Square stopped Zach Star.,The square is stopping the star.,The square stopped the star.,Zach Star is being stopped by Kyle Square.,Zach Star was stopped by Kyle Square.,The star is being stopped by the square.,The star was stopped by the square.,,,,,,,,,,,,,,,
Agent,3,1,0,Kyle,Square,square,Melissa,Oval,oval,stopp,stopped,stopped,stop,Kyle Square is stopping Melissa Oval.,Kyle Square stopped Melissa Oval.,The square is stopping the oval.,The square stopped the oval.,Melissa Oval is being stopped by Kyle Square.,Melissa Oval was stopped by Kyle Square.,The oval is being stopped by the square.,The oval was stopped by the square.,,,,,,,,,,,,,,,
Agent,6,1,0,Kyle,Square,square,Melissa,Oval,oval,bounc,bounced,bounced,bounce,Kyle Square is bouncing Melissa Oval.,Kyle Square bounced Melissa Oval.,The square is bouncing the oval.,The square bounced the oval.,Melissa Oval is being bounced by Kyle Square.,Melissa Oval was bounced by Kyle Square.,The oval is being bounced by the square.,The oval was bounced by the square.,,,,,,,,,,,,,,,
Agent,9,1,0,Kyle,Square,square,Melissa,Oval,oval,roll,rolled,rolled,roll,Kyle Square is rolling Melissa Oval.,Kyle Square rolled Melissa Oval.,The square is rolling the oval.,The square rolled the oval.,Melissa Oval is being rolled by Kyle Square.,Melissa Oval was rolled by Kyle Square.,The oval is being rolled by the square.,The oval was rolled by the square.,,,,,,,,,,,,,,,
Agent,12,1,0,Kyle,Square,square,Melissa,Oval,oval,shak,shook,shaken,shake,Kyle Square is shaking Melissa Oval.,Kyle Square shook Melissa Oval.,The square is shaking the oval.,The square shook the oval.,Melissa Oval is being shaken by Kyle Square.,Melissa Oval was shaken by Kyle Square.,The oval is being shaken by the square.,The oval was shaken by the square.,,,,,,,,,,,,,,,
Agent,13,1,0,Kyle,Square,square,Lily,Triangle,triangle,balanc,balanced,balanced,balance,Kyle Square is balancing Lily Triangle.,Kyle Square balanced Lily Triangle.,The square is balancing the triangle.,The square balanced the triangle.,Lily Triangle is being balanced by Kyle Square.,Lily Triangle was balanced by Kyle Square.,The triangle is being balanced by the square.,The triangle was balanced by the square.,,,,,,,,,,,,,,,
Agent,14,1,0,Kyle,Square,square,Zach,Star,star,balanc,balanced,balanced,balance,Kyle Square is balancing Zach Star.,Kyle Square balanced Zach Star.,The square is balancing the star.,The square balanced the star.,Zach Star is being balanced by Kyle Square.,Zach Star was balanced by Kyle Square.,The star is being balanced by the square.,The star was balanced by the square.,,,,,,,,,,,,,,,
Agent,15,1,0,Kyle,Square,square,Melissa,Oval,oval,balanc,balanced,balanced,balance,Kyle Square is balancing Melissa Oval.,Kyle Square balanced Melissa Oval.,The square is balancing the oval.,The square balanced the oval.,Melissa Oval is being balanced by Kyle Square.,Melissa Oval was balanced by Kyle Square.,The oval is being balanced by the square.,The oval was balanced by the square.,,,,,,,,,,,,,,,
Agent,16,1,0,Lily,Triangle,triangle,Kyle,Square,square,stopp,stopped,stopped,stop,Lily Triangle is stopping Kyle Square.,Lily Triangle stopped Kyle Square.,The triangle is stopping the square.,The triangle stopped the square.,Kyle Square is being stopped by Lily Triangle.,Kyle Square was stopped by Lily Triangle.,The square is being stopped by the triangle.,The square was stopped by the triangle.,,,,,,,,,,,,,,,
Agent,17,1,0,Lily,Triangle,triangle,Zach,Star,star,stopp,stopped,stopped,stop,Lily Triangle is stopping Zach Star.,Lily Triangle stopped Zach Star.,The triangle is stopping the star.,The triangle stopped the star.,Zach Star is being stopped by Lily Triangle.,Zach Star was stopped by Lily Triangle.,The star is being stopped by the triangle.,The star was stopped by the triangle.,,,,,,,,,,,,,,,
Agent,18,1,0,Lily,Triangle,triangle,Melissa,Oval,oval,stopp,stopped,stopped,stop,Lily Triangle is stopping Melissa Oval.,Lily Triangle stopped Melissa Oval.,The triangle is stopping the oval.,The triangle stopped the oval.,Melissa Oval is being stopped by Lily Triangle.,Melissa Oval was stopped by Lily Triangle.,The oval is being stopped by the triangle.,The oval was stopped by the triangle.,,,,,,,,,,,,,,,
Agent,21,1,0,Lily,Triangle,triangle,Melissa,Oval,oval,bounc,bounced,bounced,bounce,Lily Triangle is bouncing Melissa Oval.,Lily Triangle bounced Melissa Oval.,The triangle is bouncing the oval.,The triangle bounced the oval.,Melissa Oval is being bounced by Lily Triangle.,Melissa Oval was bounced by Lily Triangle.,The oval is being bounced by the triangle.,The oval was bounced by the triangle.,,,,,,,,,,,,,,,
